TPSS  —  Teaching & Practicum Scheduling System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start date,25 เม.ย. 2569,Due date,7 มิ.ย. 2569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Initiation / Planning,,,,,,,,Development,,,,,,,,Testing,,,,,,,,Deployment,,,,,,,,Phase 2 (Future),,,,,,,,Weekend ,,
,,,,,,เมษายน  2026,,,,,,พฤษภาคม  2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,มิถุนายน  2026,,,,,,
,,,,,,25,26,27,28,29,30,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,1,2,3,4,5,6,7
ลำดับ,กิจกรรม,ผู้รับผิดชอบ,สถานะ,Sprint Goal,ส่งมอบ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.  Initiation & Planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kick-off Meeting,Project Manager,Started,-,ความเข้าใจตรงกันในเป้าหมาย ขอบเขต และแผนงานเบื้องต้นระหว่างทีมงานและผู้เกี่ยวข้อง,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,เก็บและวิเคราะห์ Requirement,Project Manager,Started,-,ข้อกำหนดความต้องการของระบบ (Requirements) ที่ครบถ้วน,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,จัดทำ Project Plan,System Analyst,Started,-,แผนการดำเนินงานโครงการที่ระบุระยะเวลาและผู้รับผิดชอบชัดเจน,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,จัดทำและอนุมัติ SRS,System Analyst,Not Started,-,เอกสารข้อกำหนดความต้องการซอฟต์แวร์ ที่ได้รับการอนุมัติ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.  System Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ออกแบบ Flowchart ภาพรวมและโมดูลย่อย,ทุกคน,Not Started,-,แผนภาพแสดงลำดับการทำงาน (Flowchart) ของระบบทั้งหมด,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1,ออกแบบ UI Mock Up ระบบ,พรภิมล ประเสริฐสุข,Not Started,-,เพื่อให้เห็นภาพการใช้งานจริงก่อนการพัฒนา,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.  Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1,    Sprint 1 - โมดูล 10: สิทธิ์ผู้ใช้งาน (Login & RBAC)   [11 - 12 พ.ค.],ราชันย์ พิพัฒน์,Not Started,ระบบเข้าสู่ระบบได้ตาม Role ,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1.1,"      Task1# Authentication & Login UI (M10-01,02,08)",ราชันย์ พิพัฒน์,Not Started,-,หน้า Login และระบบยืนยันตัวตน,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1.2,      Task2# User & Role Management + RBAC Middleware (M10-03..07),ราชันย์ พิพัฒน์,Not Started,-,จัดการผู้ใช้งานและกำหนดสิทธิ์ (RBAC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2,    Sprint 2 - โมดูล 1: จัดการข้อมูลพื้นฐาน (Master Data)   [13 - 15 พ.ค.],ภูวดล ทองรอง,Not Started,ระบบสามารถจัดการข้อมูลพื้นฐานได้,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2.1,      Task3# ข้อมูลวิชา & ข้อมูลอาจารย์ (M1-01..06),ภูวดล ทองรอง,Not Started,-,จัดการข้อมูลวิชาและอาจารย์,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2.2,"      Task4# ห้องเรียน, ปีการศึกษา & กลุ่มนักศึกษา (M1-07..13)",ภูวดล ทองรอง,Not Started,-,จัดการห้องเรียน ปีการศึกษา และกลุ่มนักศึกษา,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3,    Sprint 3 - โมดูล 2: จัดการรายวิชา (Course Management) [18 - 19 พ.ค.],ภูวดล ทองรอง,Not Started,ระบบสามารถจัดการรายวิชาได้,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3.1,"      Task5# สร้าง Course Offering & มอบหมายอาจารย์ (M2-01,02,03)",ภูวดล ทองรอง,Not Started,-,เปิดรายวิชาและมอบหมายอาจารย์ผู้สอน,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3.2,"      Task6# Practicum, เงื่อนไข & Archive (M2-04,05,06,07)",ภูวดล ทองรอง,Not Started,-,ตั้งค่าวิชาปฏิบัติและระบบเก็บข้อมูลเก่า,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.4,    รวมโมดูล Sprint 1-3 + Integration Test,ทุกคน,Not Started,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5,    Sprint 4 - โมดูล 3: จัดตารางสอน / ตารางฝึก [20 - 22 พ.ค.],ภูวดล ทองรอง,Not Started,สร้าง/แก้ไขตารางสอนได้,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5.1,"      Task7# สร้าง/แก้ไข/ลบตารางสอน & Recurring (M3-01,03,06,07)",ภูวดล ทองรอง,Not Started,-,จัดตารางสอนและตั้งค่าทำซ้ำ (Recurring),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5.2,"      Task8# ตารางฝึกหมุนเวียน, กลุ่มนักศึกษา & คัดลอก Semester (M3-02,04,05,08)",ภูวดล ทองรอง,Not Started,-,จัดตารางฝึกหมุนเวียนและคัดลอกตารางเทอมเก่า,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.6,    Sprint 5 - โมดูล 4: ตรวจสอบตารางชน (Conflict Checking) [21 - 26 พ.ค.],ราชันย์ พิพัฒน์,Not Started,ตรวจ Conflict อัตโนมัติ,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.6.1,"      Task9# ตรวจจับ Conflict: อาจารย์, ห้อง & กลุ่มนักศึกษา (M4-01,02,03)",ราชันย์ พิพัฒน์,Not Started,-,ระบบตรวจจับตารางชนเบื้องหลัง,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
